runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
duckduckgo,16,0.562044,0.586506,0.477482,0.562044,0.586506,0.477482,0.660840,0.650033,0.419510,0.660840,0.650033,0.419510,0.632228,0.639602,0.264107,0.800000,0.700000,0.350000,1.000000,1.000000,1.000000
duckduckgo,17,0.197080,0.191573,0.155962,0.197080,0.191573,0.180816,0.277273,0.246186,0.158880,0.277273,0.246186,0.219638,0.217874,0.233951,0.081944,0.400000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,18,0.802920,0.717382,0.584031,0.802920,0.773106,0.773106,0.722727,0.611795,0.394833,0.722727,0.703112,0.703112,0.582372,0.699775,0.524554,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
duckduckgo,19,1.000000,0.927923,0.755435,1.000000,0.927923,0.790178,1.000000,0.870125,0.561550,1.000000,0.870125,0.623004,0.832228,0.851400,0.470588,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
duckduckgo,20,1.000000,0.962065,0.783230,1.000000,0.962065,0.794268,1.000000,0.933746,0.602609,1.000000,0.933746,0.622748,0.859071,0.871633,0.468421,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
duckduckgo,21,0.744526,0.717924,0.584472,0.744526,0.717924,0.717924,0.684352,0.658181,0.424769,0.684352,0.658181,0.658181,0.582953,0.653077,0.455833,0.600000,0.600000,0.300000,1.000000,1.000000,1.000000
duckduckgo,22,0.109489,0.225173,0.183316,0.109489,0.225173,0.225173,0.146068,0.310171,0.200174,0.146068,0.310171,0.310171,0.247208,0.276945,0.141190,0.200000,0.400000,0.200000,1.000000,1.000000,1.000000
duckduckgo,23,0.912409,0.802737,0.653519,0.912409,0.802737,0.672709,0.868795,0.706584,0.456006,0.868795,0.706584,0.487813,0.684772,0.697334,0.303571,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
duckduckgo,24,0.744526,0.714131,0.581384,0.744526,0.714131,0.714131,0.684352,0.655548,0.423069,0.684352,0.655548,0.655548,0.576243,0.645559,0.449167,0.600000,0.600000,0.300000,1.000000,1.000000,1.000000
duckduckgo,25,0.912409,0.802737,0.653519,0.912409,0.802737,0.739337,0.868795,0.706584,0.456006,0.868795,0.706584,0.599472,0.684772,0.724608,0.420330,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
duckduckgo,26,1.000000,0.965858,0.786318,1.000000,0.965858,0.822481,1.000000,0.936379,0.604309,1.000000,0.936379,0.670441,0.865782,0.885727,0.529412,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
duckduckgo,27,1.000000,1.000000,0.814113,1.000000,1.000000,0.851555,1.000000,1.000000,0.645367,1.000000,1.000000,0.715993,0.892626,0.913189,0.588235,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000
duckduckgo,28,0.766423,0.597480,0.486417,0.766423,0.597480,0.579494,0.699215,0.453743,0.292831,0.699215,0.453743,0.427497,0.462400,0.505852,0.250000,0.600000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,amean,0.642336,0.599054,0.487698,0.642819,0.608262,0.557034,0.639257,0.567587,0.366302,0.640141,0.582093,0.485615,0.531155,0.572723,0.323701,0.634483,0.531034,0.265517,0.965517,0.965517,0.965517
